Runtime, Comparisons, Swaps
Unsorted,,
355,251579,999
357,251579,999
354,251579,999
355,251579,999
353,251579,999
350,251579,999
353,251579,999
356,251579,999
377,251579,999
357,251579,999

Sorted,,
3,0,999
2,0,999
2,0,999
2,0,999
2,0,999
2,0,999
2,0,999
2,0,999
2,0,999
2,0,999
